Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-24,14.18,31.8,26.64,28.44,19.03,✅ WIN
2024-09-25,7.2,31.15,34.9,29.0,20.45,✅ WIN
2024-09-26,31.75,35.63,17.4,13.77,3.53,✅ WIN
2024-09-27,31.35,37.42,17.72,9.85,0.0,❌ LOS
2024-09-30,29.63,37.52,17.7,10.35,4.1,✅ WIN
2024-10-01,26.77,40.27,1.42,-6.45,-4.17,❌ LOS
2024-10-02,40.46,42.02,-4.37,-9.51,-10.65,❌ LOS
2024-10-03,20.1,41.83,-3.09,-12.89,-8.92,❌ LOS
2024-10-04,23.36,44.05,-6.69,-14.88,-13.9,❌ LOS
2024-10-07,24.47,44.16,-6.24,-15.72,-15.34,❌ LOS
2024-10-08,16.16,40.84,-7.76,-7.33,-8.06,❌ LOS
2024-10-09,10.13,40.18,-5.37,-6.63,-9.73,❌ LOS
2024-10-10,6.32,40.54,-10.11,-9.0,-4.6,❌ LOS
2024-10-14,6.24,41.4,-10.1,-5.66,-11.6,❌ LOS
2024-12-09,10.39,38.71,-11.05,-12.07,-15.87,❌ LOS
2025-01-17,6.09,36.58,3.33,2.64,-0.23,❌ LOS
2025-01-30,6.6,39.67,-5.41,-6.41,-0.95,❌ LOS
2025-01-31,5.7,38.19,-1.35,1.62,-1.18,❌ LOS
2025-02-04,5.72,38.61,-0.87,-4.79,6.32,✅ WIN
2025-03-06,9.77,41.19,-6.1,-2.14,-9.15,❌ LOS
2025-05-13,6.12,35.97,-8.86,-15.22,-9.45,❌ LOS
