Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-04,26.36,79.5,-1.31,-1.53,6.94,✅ WIN
2025-06-09,14.75,80.61,-1.27,1.45,4.18,✅ WIN
2025-07-24,18.15,89.64,-12.41,-8.55,-12.52,❌ LOS
2026-01-21,17.88,95.08,1.82,-0.46,19.8,✅ WIN
2026-01-27,32.11,99.88,-5.45,6.35,18.35,✅ WIN
2026-01-28,20.56,96.81,-2.24,15.46,19.12,✅ WIN
2026-02-03,22.3,94.44,12.47,20.47,12.15,✅ WIN
2026-02-05,25.29,96.16,17.17,22.36,3.73,✅ WIN
2026-02-11,22.44,111.78,1.91,3.17,-11.15,❌ LOS
2026-02-12,23.49,112.67,4.43,-2.37,-11.72,❌ LOS
2026-02-13,16.95,113.95,0.39,-3.81,-10.36,❌ LOS
2026-02-20,19.44,117.66,-6.51,-15.22,-14.68,❌ LOS
2026-02-23,15.08,114.39,-4.18,-10.32,-10.32,❌ LOS
2026-02-24,19.72,116.33,-9.06,-11.86,-12.37,❌ LOS
2026-02-25,21.79,118.21,-10.41,-13.1,-13.93,❌ LOS
2026-02-26,19.17,115.32,-11.21,-13.87,-13.53,❌ LOS
2026-07-10,22.82,123.19,-3.1,-4.68,0.67,✅ WIN
2026-07-13,15.8,123.25,-6.51,-4.08,-2.04,❌ LOS
2026-07-14,18.99,120.72,-0.52,-4.13,-2.57,❌ LOS
2026-07-21,15.87,120.09,-3.62,-0.09,-2.01,❌ LOS
2026-07-22,15.84,118.94,-5.5,1.46,-2.44,❌ LOS
