Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-05,4.09,18.11,6.44,2.97,20.34,✅ WIN
2025-08-06,4.09,18.66,1.82,1.98,15.04,✅ WIN
2025-09-02,3.79,21.43,4.24,5.96,15.8,✅ WIN
2025-09-19,4.67,23.46,2.64,6.56,6.85,✅ WIN
2025-09-22,4.05,24.2,0.58,4.62,7.02,✅ WIN
2025-12-11,4.41,28.52,-1.96,4.03,15.38,✅ WIN
2025-12-12,4.32,27.89,2.4,1.04,19.52,✅ WIN
2026-01-12,6.37,32.9,10.99,14.97,4.16,✅ WIN
2026-01-13,4.37,33.33,5.84,14.08,4.35,✅ WIN
2026-01-14,4.42,33.25,10.06,9.94,-2.79,❌ LOS
2026-01-16,4.44,33.62,12.51,-6.18,-0.3,❌ LOS
2026-01-20,16.85,36.52,3.58,-8.92,-5.47,❌ LOS
2026-01-21,14.05,35.28,7.79,-6.63,-5.29,❌ LOS
2026-01-22,10.11,36.6,-0.11,-14.71,-8.71,❌ LOS
2026-01-23,8.16,37.11,-15.07,-13.64,-4.39,❌ LOS
2026-01-26,14.78,37.82,-16.61,-10.4,-4.78,❌ LOS
2026-01-27,8.35,37.82,-12.07,-9.4,-4.83,❌ LOS
2026-01-28,10.4,38.02,-13.37,-8.54,-3.44,❌ LOS
2026-01-29,11.7,36.56,-14.62,-11.58,1.07,✅ WIN
2026-02-23,3.89,35.49,3.55,-8.47,-21.63,❌ LOS
2026-02-27,3.74,36.94,-12.0,-17.26,-22.21,❌ LOS
