Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-18,297.24,1042.25,1.19,8.84,4.98,✅ WIN
2025-09-19,277.94,1040.38,1.86,5.43,5.92,✅ WIN
2025-09-22,244.08,1066.71,-0.66,6.39,7.62,✅ WIN
2025-10-30,375.05,1209.26,-0.66,-4.34,-3.04,❌ LOS
2026-01-05,243.74,1348.97,5.6,9.89,0.23,✅ WIN
2026-01-15,475.07,1540.99,-2.08,-7.57,-5.23,❌ LOS
2026-01-16,462.65,1563.79,-1.58,-10.04,-6.11,❌ LOS
2026-01-20,364.33,1482.36,8.76,-8.79,-0.27,❌ LOS
2026-01-21,413.55,1516.09,7.05,-14.0,-3.17,❌ LOS
2026-01-22,279.4,1496.14,12.31,-11.26,-0.14,❌ LOS
2026-01-28,259.58,1623.02,-19.66,-9.08,-6.2,❌ LOS
2026-01-29,464.99,1680.38,-20.99,-13.88,-9.39,❌ LOS
2026-04-15,242.54,1745.88,3.66,3.9,5.81,✅ WIN
2026-04-17,271.66,1789.16,8.01,-3.64,0.72,✅ WIN
2026-04-20,310.78,1803.02,5.24,-5.1,-2.58,❌ LOS
2026-04-21,249.86,1783.09,1.32,-2.94,-2.38,❌ LOS
2026-04-22,242.57,1809.75,0.23,0.23,1.09,✅ WIN
2026-04-23,328.6,1813.12,-3.58,-2.87,1.6,✅ WIN
2026-04-24,543.98,1932.53,-10.79,-3.4,-2.28,❌ LOS
2026-04-27,453.32,1897.58,-9.83,-2.88,6.0,✅ WIN
