Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,6.44,58.0,-0.37,-3.14,2.07,✅ WIN
2024-12-10,6.37,59.22,0.72,1.81,-2.65,❌ LOS
2024-12-11,6.7,59.81,-0.72,2.33,-3.0,❌ LOS
2024-12-12,9.31,61.73,-3.7,-1.52,-5.34,❌ LOS
2024-12-20,8.07,60.32,-1.0,-4.38,-5.3,❌ LOS
2025-02-03,5.79,61.76,3.08,3.55,0.25,✅ WIN
2025-02-05,9.9,63.8,0.58,-1.09,-2.03,❌ LOS
2025-02-06,6.46,63.3,1.11,0.72,3.26,✅ WIN
2025-02-07,5.56,63.39,0.69,0.3,4.7,✅ WIN
2025-02-12,8.87,64.17,-1.66,-2.37,0.95,✅ WIN
2025-04-03,11.84,69.32,-4.01,0.68,1.81,✅ WIN
2025-04-17,5.55,69.79,-1.71,1.12,-2.86,❌ LOS
2025-04-23,6.39,70.56,0.29,0.53,-3.84,❌ LOS
2025-04-30,8.24,70.76,0.24,-8.13,-6.83,❌ LOS
2025-06-20,14.7,70.87,-0.76,-0.72,0.07,✅ WIN
2025-06-23,7.83,72.87,-3.07,-5.76,-1.88,❌ LOS
2025-06-24,8.53,72.3,-2.82,-4.3,-0.74,❌ LOS
2026-02-09,12.57,69.75,-0.13,0.01,3.57,✅ WIN
2026-02-13,6.19,71.25,-4.2,-3.09,4.55,✅ WIN
