Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-03,27.35,445.27,1.46,2.56,1.57,✅ WIN
2025-02-18,30.45,456.66,0.36,-0.96,-0.77,❌ LOS
2025-05-27,29.84,460.27,0.83,1.95,-1.34,❌ LOS
2025-05-30,26.05,459.9,1.42,-0.02,0.66,✅ WIN
2025-06-04,26.34,467.48,-1.1,-3.18,0.38,✅ WIN
2026-02-04,41.69,470.26,-1.23,3.55,3.53,✅ WIN
2026-02-12,26.19,469.79,5.0,7.45,4.8,✅ WIN
2026-02-13,37.43,477.88,3.57,5.89,3.76,✅ WIN
2026-02-18,29.09,482.13,4.74,2.87,1.02,✅ WIN
2026-02-19,38.69,486.93,1.71,-0.01,0.27,✅ WIN
2026-02-20,44.06,493.29,2.33,-2.37,-1.35,❌ LOS
2026-02-23,28.18,494.96,2.24,-2.92,-3.72,❌ LOS
2026-02-24,38.43,500.73,-0.46,-5.17,-4.47,❌ LOS
2026-02-25,40.5,504.97,-1.79,-4.94,-2.81,❌ LOS
2026-02-27,63.67,504.78,-4.59,-2.46,-3.01,❌ LOS
2026-03-02,53.8,506.03,-5.05,-2.01,-1.65,❌ LOS
2026-03-03,47.34,498.42,-4.73,-1.19,-0.85,❌ LOS
2026-03-04,27.15,495.95,-3.21,-1.8,-0.74,❌ LOS
2026-04-13,27.48,507.27,-2.11,0.37,-0.88,❌ LOS
