Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-06,143.79,859.77,0.17,0.55,0.08,✅ WIN
2025-11-05,196.79,920.01,9.93,13.54,9.74,✅ WIN
2025-11-06,217.52,931.56,9.11,11.45,7.93,✅ WIN
2025-11-10,235.11,960.58,5.85,10.87,1.76,✅ WIN
2025-11-11,178.55,982.42,4.34,12.44,0.66,✅ WIN
2025-11-12,244.13,1011.4,3.28,8.66,-0.68,❌ LOS
2025-11-13,189.33,1016.46,2.15,5.3,0.6,✅ WIN
2025-11-14,179.73,1020.35,3.36,3.18,3.6,✅ WIN
2025-11-17,214.42,1016.79,4.74,2.39,3.19,✅ WIN
2025-11-18,165.34,1025.1,7.76,0.34,1.14,✅ WIN
2025-11-19,163.89,1044.55,5.22,-3.35,0.69,✅ WIN
2025-11-21,151.41,1054.6,-0.17,-5.86,1.58,✅ WIN
2025-11-24,188.88,1065.01,-2.25,-8.22,0.14,✅ WIN
2025-11-25,160.61,1104.6,-6.88,-10.48,-2.97,❌ LOS
2026-05-19,148.37,1019.95,6.02,5.62,8.87,✅ WIN
2026-05-28,193.07,1125.19,-0.14,3.03,7.22,✅ WIN
2026-05-29,200.83,1103.42,2.39,2.53,11.31,✅ WIN
2026-06-04,146.86,1123.66,3.17,-2.37,6.65,✅ WIN
2026-06-05,152.84,1129.8,0.14,-2.59,9.2,✅ WIN
2026-06-08,210.26,1147.51,-1.72,-3.66,5.8,✅ WIN
2026-06-26,169.89,1206.39,-0.67,-2.17,-0.88,❌ LOS
