Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,5.59,60.66,-2.83,-4.6,-6.3,❌ LOS
2024-11-26,4.61,60.39,-2.46,-4.63,-5.83,❌ LOS
2025-02-20,4.68,59.25,3.62,0.94,3.13,✅ WIN
2025-02-21,7.92,60.4,2.74,-0.51,0.38,✅ WIN
2025-02-24,8.06,61.4,3.43,-0.91,-1.36,❌ LOS
2025-02-25,6.37,61.3,0.8,-1.77,-2.59,❌ LOS
2025-03-03,6.56,63.5,-4.19,-3.8,-2.56,❌ LOS
2025-07-18,4.59,62.18,1.26,2.89,1.56,✅ WIN
2025-07-22,5.32,63.74,-1.89,1.29,1.22,✅ WIN
2025-08-04,6.09,64.83,-1.54,-2.88,-2.53,❌ LOS
2025-10-06,6.89,66.57,-0.68,0.69,-1.69,❌ LOS
2026-02-13,4.67,70.66,1.01,1.6,2.58,✅ WIN
2026-02-20,6.42,70.48,1.87,0.76,-3.24,❌ LOS
2026-02-23,8.63,71.38,0.58,-0.42,-3.81,❌ LOS
2026-02-24,4.62,71.1,0.84,-0.82,-2.75,❌ LOS
2026-02-26,10.29,70.92,-0.15,0.17,-1.67,❌ LOS
2026-02-27,9.2,71.8,-1.09,0.62,-2.52,❌ LOS
2026-03-02,4.59,71.79,-1.0,0.97,-1.16,❌ LOS
