Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-02,4.27,102.69,-0.8,0.53,0.55,✅ WIN
2024-08-05,2.96,102.43,-0.34,1.02,1.11,✅ WIN
2024-08-13,3.42,102.79,0.93,1.11,2.39,✅ WIN
2024-08-14,3.16,103.25,0.71,0.46,1.86,✅ WIN
2024-09-05,2.63,104.73,0.43,0.86,0.14,✅ WIN
2024-09-17,2.36,105.97,-0.21,-0.17,-1.72,❌ LOS
2024-09-20,2.51,105.72,-0.17,-1.34,-2.02,❌ LOS
2025-03-03,3.39,104.31,-0.78,-1.25,-0.78,❌ LOS
2025-03-04,3.18,103.97,-1.1,-0.69,-0.09,❌ LOS
2025-03-05,3.23,103.63,-1.08,0.22,0.46,✅ WIN
2025-06-30,3.12,105.59,-1.01,-1.42,0.26,✅ WIN
2025-08-01,3.46,106.43,-0.2,0.1,0.16,✅ WIN
2025-08-04,3.0,106.61,-0.22,-0.25,-0.35,❌ LOS
2025-08-05,2.38,106.69,-0.2,-0.17,0.17,✅ WIN
2025-08-06,2.59,106.66,0.35,-0.1,0.88,✅ WIN
2025-09-05,2.35,108.3,0.76,0.51,0.71,✅ WIN
2025-09-08,2.46,108.68,0.72,-0.06,0.03,✅ WIN
2025-09-10,2.4,108.81,0.33,-0.38,-0.02,❌ LOS
2025-09-11,3.22,109.31,-0.34,-1.02,-0.68,❌ LOS
2025-09-16,2.52,109.36,-0.49,-0.7,0.22,✅ WIN
2025-09-17,2.7,109.17,-0.71,-0.13,0.4,✅ WIN
