Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-19,56.29,126.22,1.31,15.11,11.72,✅ WIN
2025-12-19,56.68,171.94,2.09,20.14,32.58,✅ WIN
2026-01-05,51.33,194.39,13.16,14.2,18.15,✅ WIN
2026-01-06,70.41,206.57,3.59,10.35,1.36,✅ WIN
2026-01-07,50.41,202.69,2.81,8.68,5.04,✅ WIN
2026-01-08,51.53,200.58,8.22,8.45,14.95,✅ WIN
2026-01-09,74.12,217.95,2.11,2.07,5.0,✅ WIN
2026-01-21,57.22,227.96,4.9,-8.15,3.94,✅ WIN
2026-01-29,57.61,247.7,-14.05,-6.8,-5.75,❌ LOS
2026-04-24,60.89,267.59,-4.13,9.81,14.03,✅ WIN
2026-05-06,55.35,296.96,-0.58,-1.71,13.2,✅ WIN
