Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-29,4.8,34.27,-0.37,3.28,2.69,✅ WIN
2024-10-30,5.03,35.1,-2.74,-1.03,-0.28,❌ LOS
2024-10-31,2.94,34.38,1.34,-0.1,1.52,✅ WIN
2024-11-08,5.12,35.35,-2.75,-0.55,-4.26,❌ LOS
2024-11-11,3.09,35.49,-3.52,-2.08,-3.99,❌ LOS
2024-11-12,2.9,35.4,-1.93,-0.58,-5.2,❌ LOS
2026-01-16,4.08,35.82,-1.16,-1.62,8.62,✅ WIN
2026-01-20,4.39,36.38,-3.49,-2.69,4.58,✅ WIN
2026-01-21,4.17,36.71,-6.37,-2.58,3.37,✅ WIN
2026-02-11,3.24,38.43,-1.24,2.91,-0.48,❌ LOS
2026-02-17,2.83,38.91,-1.65,-0.57,-2.36,❌ LOS
2026-02-18,2.85,38.04,2.01,-0.54,-0.18,❌ LOS
2026-02-25,3.87,38.81,-2.5,-2.15,-5.44,❌ LOS
2026-02-26,5.19,39.55,-5.45,-3.3,-7.45,❌ LOS
2026-02-27,3.79,38.88,-3.23,-1.46,-5.66,❌ LOS
2026-04-17,3.77,39.2,-3.42,-2.76,-4.25,❌ LOS
