Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-02-20,5.3,55.41,1.5,19.86,30.95,✅ WIN
2026-03-05,15.98,65.2,12.83,13.19,20.83,✅ WIN
2026-03-06,13.95,66.42,7.73,9.25,17.15,✅ WIN
2026-03-09,18.35,66.13,6.38,6.96,20.11,✅ WIN
2026-03-10,10.71,64.93,8.52,15.85,13.12,✅ WIN
2026-03-11,10.62,66.67,11.62,14.58,7.27,✅ WIN
2026-03-12,29.08,73.56,0.32,4.56,-0.82,❌ LOS
2026-03-13,18.76,71.55,1.41,11.27,4.44,✅ WIN
2026-03-16,8.05,70.34,0.55,15.9,3.05,✅ WIN
2026-03-17,11.97,70.46,6.76,13.15,2.71,✅ WIN
2026-03-18,17.76,74.42,2.65,2.01,0.12,✅ WIN
2026-03-19,15.57,73.8,4.22,6.75,-11.13,❌ LOS
2026-03-20,30.05,72.56,9.72,7.23,-6.46,❌ LOS
2026-03-23,7.52,70.73,15.27,12.3,-0.07,❌ LOS
2026-03-24,8.22,75.22,5.99,-2.35,-5.28,❌ LOS
2026-03-25,4.63,76.39,-0.62,-6.37,-8.38,❌ LOS
2026-03-27,9.39,79.62,-2.27,-6.14,-11.72,❌ LOS
2026-03-30,12.69,81.53,-2.57,-11.08,-13.23,❌ LOS
2026-03-31,12.43,79.73,-7.87,-9.22,-9.02,❌ LOS
2026-04-07,5.81,79.43,-8.73,-11.01,-3.11,❌ LOS
2026-05-07,4.75,70.77,2.46,-2.0,-8.86,❌ LOS
