Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,37.94,125.99,0.82,8.35,6.89,✅ WIN
2024-11-11,19.56,123.8,7.11,13.52,8.53,✅ WIN
2024-11-12,40.23,129.67,3.68,7.09,3.86,✅ WIN
2024-11-13,16.7,127.02,7.47,10.01,6.94,✅ WIN
2024-11-21,16.39,138.57,-0.23,-1.31,-3.82,❌ LOS
2024-11-25,28.21,140.54,-2.27,-4.4,-5.14,❌ LOS
2024-12-04,15.93,136.73,-1.5,-3.03,-5.3,❌ LOS
2025-01-24,15.16,140.74,2.8,5.38,9.86,✅ WIN
2025-01-27,16.03,140.13,4.07,5.12,3.09,✅ WIN
2025-01-31,18.56,144.68,2.51,6.28,-1.67,❌ LOS
2025-02-04,21.98,148.06,-0.86,3.79,-7.58,❌ LOS
2025-02-05,20.85,149.51,0.12,1.88,-12.31,❌ LOS
2025-02-06,22.21,149.99,1.73,-0.39,-14.99,❌ LOS
2025-02-07,16.48,148.31,3.67,4.25,-17.21,❌ LOS
2025-05-16,16.58,147.68,-1.81,-6.18,-3.63,❌ LOS
2025-06-20,18.39,148.87,0.75,-0.99,0.38,✅ WIN
2026-02-20,31.89,162.67,-0.33,-4.02,-8.5,❌ LOS
2026-02-27,28.49,162.14,-3.71,-5.04,-10.13,❌ LOS
