Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-02,4.93,52.79,-2.18,1.75,4.67,✅ WIN
2025-01-03,5.45,53.32,-2.67,2.09,3.65,✅ WIN
2025-01-06,5.11,52.38,0.62,3.73,4.38,✅ WIN
2025-07-07,5.54,56.38,4.69,5.62,5.71,✅ WIN
2025-07-08,4.25,56.57,4.24,5.56,4.5,✅ WIN
2025-07-14,5.41,59.03,0.9,2.49,4.21,✅ WIN
2025-07-15,4.99,58.96,1.28,1.57,5.4,✅ WIN
2025-07-16,5.35,59.8,1.6,0.22,5.3,✅ WIN
2025-07-17,6.0,60.19,1.16,-0.19,4.01,✅ WIN
2025-07-18,4.48,59.8,2.22,-0.64,3.05,✅ WIN
2025-07-21,4.97,59.55,1.57,0.08,2.74,✅ WIN
2025-07-22,4.49,59.71,0.3,-1.01,1.84,✅ WIN
2025-07-23,7.17,60.75,-1.36,-1.96,0.34,✅ WIN
2025-07-24,4.76,60.88,-1.33,-3.11,0.53,✅ WIN
2025-12-08,5.02,58.95,-1.84,-3.59,-1.38,❌ LOS
2025-12-09,4.84,59.6,-3.32,-5.33,0.3,✅ WIN
2025-12-10,5.6,59.93,-3.83,-4.5,-1.87,❌ LOS
2025-12-11,4.8,59.31,-3.18,-1.95,-1.66,❌ LOS
2025-12-15,5.4,57.87,-1.78,-0.47,3.42,✅ WIN
2025-12-19,7.12,57.31,-0.22,4.06,7.31,✅ WIN
2026-01-15,6.34,61.7,-0.23,-0.62,-7.01,❌ LOS
