Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-07,30.99,251.64,2.51,3.84,0.5,✅ WIN
2024-11-25,36.12,284.67,-1.07,-0.11,-0.56,❌ LOS
2025-02-06,33.21,299.44,-4.86,-8.41,-13.08,❌ LOS
2025-02-10,30.47,300.93,-5.27,-8.87,-18.92,❌ LOS
2025-05-12,43.91,269.41,0.45,-1.9,-1.19,❌ LOS
2025-11-05,33.05,281.86,3.04,0.4,4.81,✅ WIN
2025-11-07,41.26,289.91,-1.87,1.85,-0.91,❌ LOS
2025-11-21,43.29,295.27,2.57,-2.71,6.05,✅ WIN
2025-11-24,31.09,295.66,2.84,-4.18,6.02,✅ WIN
2026-02-10,90.67,358.66,-0.93,-3.31,-9.0,❌ LOS
2026-02-11,50.43,358.06,-2.47,-2.09,-11.66,❌ LOS
2026-02-12,34.4,354.4,-2.01,-3.57,-11.45,❌ LOS
2026-02-13,30.94,353.21,-3.18,-6.44,-8.88,❌ LOS
2026-02-17,53.64,359.25,-4.66,-6.5,-8.9,❌ LOS
2026-02-18,44.12,355.31,-2.4,-5.45,-9.23,❌ LOS
2026-02-20,36.38,347.26,-1.59,-6.76,-7.92,❌ LOS
