Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-01,1.05,15.57,5.65,-3.73,11.69,✅ WIN
2024-11-07,1.15,16.51,-6.18,4.72,2.97,✅ WIN
2024-11-12,0.79,16.93,-1.0,5.85,0.65,✅ WIN
2024-11-13,0.87,17.31,-2.25,4.16,2.37,✅ WIN
2024-11-18,0.87,16.82,9.99,4.28,16.77,✅ WIN
2024-12-17,0.8,19.64,-3.56,1.93,-18.43,❌ LOS
2025-01-03,1.52,21.7,-27.79,-23.18,-26.64,❌ LOS
2025-01-06,2.17,21.85,-26.18,-22.2,-26.09,❌ LOS
2025-05-08,0.84,15.68,1.66,1.98,7.65,✅ WIN
2025-05-09,1.51,16.3,-2.09,-4.23,-0.92,❌ LOS
2025-05-12,1.53,16.61,-5.36,-2.23,-2.71,❌ LOS
2025-05-13,0.88,16.94,-5.25,-0.71,-3.42,❌ LOS
2025-05-28,1.13,16.82,-0.24,-2.73,9.63,✅ WIN
2025-06-24,1.0,17.95,0.67,-3.51,-10.31,❌ LOS
2025-07-02,1.58,18.91,-11.85,-13.96,-24.7,❌ LOS
2025-07-07,1.0,18.41,-9.99,-12.87,-23.47,❌ LOS
2025-07-08,1.04,18.64,-13.52,-13.14,-24.46,❌ LOS
2025-07-09,2.84,17.32,-8.49,-7.04,-19.69,❌ LOS
2025-07-10,2.31,16.67,-2.4,-7.5,-16.14,❌ LOS
2025-07-11,0.87,16.11,-0.37,-8.01,-15.58,❌ LOS
2026-01-07,2.11,12.24,-10.62,-14.13,-31.37,❌ LOS
