Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-09,9.54,53.72,10.63,2.34,23.94,✅ WIN
2025-05-12,15.38,59.19,-0.64,-3.0,15.04,✅ WIN
2025-06-20,10.69,67.49,2.2,3.64,7.08,✅ WIN
2025-12-03,12.42,63.24,6.74,0.6,2.23,✅ WIN
2025-12-05,9.75,65.42,2.08,-1.37,13.77,✅ WIN
2025-12-08,9.73,66.96,-0.25,-1.65,9.78,✅ WIN
2025-12-09,9.1,66.46,-1.42,-2.24,9.99,✅ WIN
2025-12-10,11.74,67.5,-5.76,-3.74,10.78,✅ WIN
2025-12-11,13.2,68.69,-7.28,-6.01,6.22,✅ WIN
2025-12-12,16.03,66.79,-3.38,-3.77,10.26,✅ WIN
2025-12-19,14.74,64.53,-0.4,15.34,17.39,✅ WIN
2026-01-06,16.28,74.43,-1.07,1.78,4.49,✅ WIN
2026-01-07,8.72,73.51,1.0,2.07,5.55,✅ WIN
2026-01-08,8.75,73.1,1.25,1.6,3.37,✅ WIN
2026-01-09,11.51,74.78,-0.69,-0.57,-1.08,❌ LOS
2026-01-20,11.14,72.74,2.72,4.77,8.12,✅ WIN
2026-01-21,18.09,75.75,5.35,2.66,1.26,✅ WIN
2026-01-22,17.41,75.03,5.15,3.41,2.99,✅ WIN
2026-01-28,10.39,79.81,-2.55,0.59,-6.06,❌ LOS
