Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-29,30.81,483.38,1.13,3.08,0.7,✅ WIN
2025-01-31,39.42,492.37,0.77,4.69,0.7,✅ WIN
2025-02-03,34.64,489.45,1.56,4.65,-2.87,❌ LOS
2025-02-05,30.86,488.82,1.94,3.18,-4.99,❌ LOS
2025-02-06,55.13,495.73,4.9,-0.51,-8.05,❌ LOS
2025-02-07,31.7,496.18,3.88,-0.47,-10.36,❌ LOS
2025-02-11,39.37,505.34,1.3,-2.6,-13.59,❌ LOS
2025-02-12,29.37,498.29,1.22,-2.31,-13.22,❌ LOS
2025-02-13,66.38,520.02,-5.16,-4.28,-15.13,❌ LOS
2025-02-18,32.32,512.23,-3.22,-7.19,-13.21,❌ LOS
2025-05-12,48.87,481.07,1.23,-1.0,-0.23,❌ LOS
2026-01-05,60.5,523.39,1.56,-1.82,-10.6,❌ LOS
2026-01-06,42.64,529.37,0.38,-1.52,-13.45,❌ LOS
2026-01-07,29.47,527.92,0.85,-0.23,-13.88,❌ LOS
2026-03-05,30.27,467.94,-9.27,-7.29,-6.22,❌ LOS
2026-07-06,29.11,497.73,-0.61,1.32,-3.09,❌ LOS
2026-07-15,33.32,503.4,-2.93,-4.21,-5.28,❌ LOS
2026-07-16,62.13,517.93,-9.01,-7.08,-5.9,❌ LOS
2026-07-17,62.95,509.78,-7.7,-6.36,-4.87,❌ LOS
2026-07-20,32.4,504.3,-3.84,-4.36,-5.38,❌ LOS
2026-07-21,37.41,489.74,-1.34,-1.45,-0.81,❌ LOS
