Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-09,103.53,350.13,-24.13,-30.62,-28.97,❌ LOS
2025-08-27,255.63,295.7,8.91,12.31,6.64,✅ WIN
2025-08-28,218.76,318.1,2.09,3.77,0.1,✅ WIN
2025-08-29,116.59,315.61,2.43,5.82,0.44,✅ WIN
2025-09-02,81.35,318.29,4.02,2.85,-2.49,❌ LOS
2025-09-04,56.43,322.05,3.12,-1.79,1.32,✅ WIN
2025-09-10,64.47,334.87,-5.82,-5.84,-2.42,❌ LOS
2025-09-15,84.6,333.97,-3.11,-5.08,-4.42,❌ LOS
2025-10-31,61.69,359.82,0.34,-2.0,-8.6,❌ LOS
2025-11-03,172.07,369.05,1.31,-7.98,8.93,✅ WIN
2025-11-10,58.72,373.89,-9.17,-11.57,10.74,✅ WIN
2025-12-02,129.23,401.99,3.0,4.85,4.4,✅ WIN
2025-12-08,77.34,418.71,-0.65,5.01,5.23,✅ WIN
2025-12-10,69.42,427.41,-3.52,1.9,-4.51,❌ LOS
2025-12-15,74.13,416.0,5.69,1.26,-7.0,❌ LOS
2025-12-16,67.18,421.5,3.71,-0.43,-7.66,❌ LOS
2025-12-18,75.69,425.2,2.5,-1.03,-9.5,❌ LOS
2025-12-19,61.11,430.64,-1.74,1.21,-11.42,❌ LOS
