Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-07,3.52,30.76,1.8,2.11,1.23,✅ WIN
2024-11-13,6.55,30.9,0.05,-0.82,-4.15,❌ LOS
2024-11-18,6.23,30.8,-0.27,0.08,-4.1,❌ LOS
2024-11-19,3.84,31.03,-1.34,0.02,-8.0,❌ LOS
2024-11-20,6.49,30.92,-0.87,1.18,-6.5,❌ LOS
2024-11-21,3.21,31.41,-1.68,-0.86,-7.19,❌ LOS
2025-04-02,5.31,31.42,-9.92,-11.62,-4.67,❌ LOS
2025-05-01,3.74,29.95,1.01,3.34,4.28,✅ WIN
2025-05-20,4.96,30.89,0.08,1.45,-2.71,❌ LOS
2025-11-10,3.61,32.78,1.14,4.37,5.42,✅ WIN
2025-11-13,3.38,33.78,-1.66,2.27,3.05,✅ WIN
2025-11-25,7.49,34.64,-0.59,0.51,3.82,✅ WIN
2026-04-13,3.5,36.94,3.43,3.49,7.22,✅ WIN
2026-04-14,3.34,37.5,1.0,1.96,5.76,✅ WIN
2026-04-15,3.9,38.44,-1.26,-1.62,2.71,✅ WIN
2026-04-16,4.04,38.27,0.05,1.71,-2.82,❌ LOS
2026-04-17,4.56,38.45,-0.18,0.75,-3.2,❌ LOS
2026-04-20,4.42,38.21,0.05,-0.1,-0.86,❌ LOS
2026-04-23,3.21,38.29,1.66,2.35,1.01,✅ WIN
2026-04-27,4.05,38.23,-0.16,3.6,0.0,❌ LOS
2026-04-28,4.04,38.24,1.89,3.73,0.31,✅ WIN
