Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-17,15.56,137.09,7.44,6.39,6.17,✅ WIN
2025-01-21,45.87,142.79,3.07,3.26,2.76,✅ WIN
2025-01-22,32.56,144.95,1.62,2.23,0.47,✅ WIN
2025-01-23,22.18,145.45,3.19,1.8,-2.63,❌ LOS
2025-01-24,22.45,145.25,1.85,0.29,-2.16,❌ LOS
2025-01-27,24.39,147.29,-0.98,-1.21,-2.81,❌ LOS
2025-01-28,19.78,147.17,0.18,-0.88,-2.14,❌ LOS
2025-01-29,16.03,147.31,0.6,-1.76,-0.18,❌ LOS
2025-01-30,16.72,150.09,-1.35,-3.68,0.96,✅ WIN
2025-01-31,17.64,147.95,-1.53,-1.87,1.3,✅ WIN
2025-02-28,13.3,151.53,-5.69,-3.04,-6.63,❌ LOS
2025-05-12,17.63,146.85,2.53,-0.07,-3.03,❌ LOS
2025-05-16,16.99,149.57,-3.11,-3.91,-4.79,❌ LOS
2025-07-10,19.08,154.43,1.09,-5.1,-3.55,❌ LOS
2025-10-21,25.85,164.34,0.11,-3.63,-0.08,❌ LOS
2025-10-22,13.63,164.92,-1.55,-1.74,0.04,✅ WIN
2025-10-23,18.91,169.23,-3.0,-4.52,-3.66,❌ LOS
2025-11-06,13.91,161.58,4.13,0.9,2.65,✅ WIN
2025-11-24,20.83,167.93,1.18,-2.64,-5.55,❌ LOS
2026-01-16,13.95,166.19,-4.93,-8.56,0.34,✅ WIN
