Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-28,11.45,54.65,0.77,0.81,5.87,✅ WIN
2025-05-16,7.26,62.86,0.8,1.54,1.62,✅ WIN
2025-05-30,6.82,63.95,-0.84,-1.39,-2.05,❌ LOS
2025-08-08,9.05,64.69,-0.08,-2.86,-2.58,❌ LOS
2025-09-16,7.08,66.16,-2.54,1.74,3.7,✅ WIN
2025-10-10,6.87,69.62,0.86,0.1,0.16,✅ WIN
2025-11-24,10.01,73.24,2.01,0.45,6.05,✅ WIN
2026-01-21,7.4,81.6,-0.83,-0.2,0.48,✅ WIN
2026-02-26,6.76,86.66,-11.49,-11.16,-16.94,❌ LOS
2026-05-08,25.71,86.29,0.93,0.58,2.53,✅ WIN
2026-05-11,15.52,86.41,2.46,1.17,4.33,✅ WIN
2026-05-12,10.51,85.87,0.56,3.92,6.22,✅ WIN
2026-05-13,9.46,85.93,1.11,2.4,7.1,✅ WIN
2026-05-15,11.18,87.09,-0.34,2.31,7.05,✅ WIN
2026-05-18,10.06,88.54,-1.26,-0.34,4.98,✅ WIN
2026-05-19,7.88,86.35,3.35,3.12,6.15,✅ WIN
2026-05-20,7.57,86.88,1.28,1.91,5.13,✅ WIN
2026-05-21,6.93,86.32,2.04,3.74,7.76,✅ WIN
2026-05-26,10.01,87.42,0.94,3.12,8.33,✅ WIN
2026-05-27,12.25,89.24,-0.22,2.21,7.38,✅ WIN
