Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-18,12.12,94.23,9.57,6.06,3.73,✅ WIN
2025-11-21,14.91,95.53,4.16,1.2,8.04,✅ WIN
2025-11-24,20.2,98.11,0.63,-3.5,5.52,✅ WIN
2025-11-25,23.07,103.25,-3.21,-7.61,1.61,✅ WIN
2025-11-26,11.2,102.25,-3.57,-5.37,2.93,✅ WIN
2026-01-07,10.44,107.03,2.22,0.53,10.27,✅ WIN
2026-01-08,15.56,109.39,-0.02,-2.53,9.86,✅ WIN
2026-02-03,13.46,114.17,1.13,5.02,3.83,✅ WIN
2026-02-04,10.92,116.62,0.83,2.98,-1.91,❌ LOS
2026-02-05,13.79,118.02,-0.43,2.1,-3.31,❌ LOS
2026-02-06,11.96,120.17,-0.43,1.55,-3.95,❌ LOS
2026-02-12,9.52,117.52,2.53,3.84,-3.04,❌ LOS
2026-05-22,14.77,121.54,-5.91,-2.36,-1.59,❌ LOS
2026-05-29,12.19,117.87,1.74,0.28,9.76,✅ WIN
2026-06-04,10.84,119.4,0.42,-4.63,6.18,✅ WIN
2026-06-05,14.41,119.93,-1.44,-3.71,7.45,✅ WIN
2026-06-26,12.6,128.66,-1.46,-3.6,1.63,✅ WIN
2026-07-07,11.25,128.86,-6.27,-2.02,-0.67,❌ LOS
