Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-04,128.34,117.61,-5.75,-10.89,0.03,✅ WIN
2024-12-13,64.48,120.22,-7.34,-7.54,-3.9,❌ LOS
2026-04-10,69.26,128.46,8.72,27.88,32.41,✅ WIN
2026-04-20,84.36,147.8,7.01,10.7,14.27,✅ WIN
2026-04-21,56.43,151.27,1.27,11.53,16.5,✅ WIN
2026-04-23,70.33,165.52,-0.25,-3.35,15.18,✅ WIN
2026-04-24,63.6,164.27,0.39,3.54,19.49,✅ WIN
2026-05-26,65.96,208.21,39.63,28.15,32.86,✅ WIN
2026-05-28,80.3,204.78,54.48,37.05,30.24,✅ WIN
2026-06-02,421.83,290.72,-8.22,-4.17,-6.44,❌ LOS
2026-06-03,342.66,301.58,-16.26,-4.01,-18.68,❌ LOS
2026-06-04,272.41,316.35,-11.29,-1.85,-21.22,❌ LOS
2026-06-05,141.15,263.41,6.16,16.85,-12.44,❌ LOS
2026-06-08,183.52,288.78,6.93,-3.4,-19.78,❌ LOS
2026-06-09,131.46,266.81,4.42,3.68,-8.85,❌ LOS
2026-06-11,79.41,280.64,10.64,-4.97,-22.49,❌ LOS
2026-06-15,92.15,308.8,-9.66,-3.56,-33.21,❌ LOS
2026-06-16,67.71,278.6,-0.71,-2.38,-32.41,❌ LOS
2026-06-17,62.81,289.47,-2.86,-15.28,-34.82,❌ LOS
2026-06-18,348.84,310.5,-14.11,-19.74,-37.22,❌ LOS
2026-06-22,55.62,307.78,-9.78,-25.06,-32.43,❌ LOS
