Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-08,40.73,448.35,1.52,1.87,5.5,✅ WIN
2025-08-11,47.79,455.8,0.05,-0.06,3.69,✅ WIN
2025-08-12,64.9,465.94,-2.29,-3.31,2.23,✅ WIN
2025-08-13,33.39,464.95,-1.72,-1.23,4.27,✅ WIN
2026-02-12,72.87,450.89,2.06,6.36,4.34,✅ WIN
2026-02-13,50.06,459.17,0.71,5.27,1.96,✅ WIN
2026-02-17,41.77,455.19,2.86,4.91,2.48,✅ WIN
2026-02-20,50.89,460.16,4.21,-0.43,-1.99,❌ LOS
2026-02-23,46.65,462.42,4.53,-1.51,-1.54,❌ LOS
2026-02-24,33.78,468.21,1.99,-1.43,-3.16,❌ LOS
2026-02-25,33.85,468.68,1.46,-1.86,-4.06,❌ LOS
2026-02-26,32.37,469.3,-1.01,-1.97,-4.4,❌ LOS
2026-02-27,60.59,479.55,-4.46,-1.9,-8.87,❌ LOS
2026-03-02,47.17,483.38,-5.78,-3.15,-11.97,❌ LOS
2026-03-03,34.5,477.52,-3.35,-2.32,-9.39,❌ LOS
