Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-16,46.71,114.71,-1.03,-1.33,11.97,✅ WIN
2024-10-17,20.87,114.64,-0.23,-1.9,11.75,✅ WIN
2024-10-18,18.4,116.2,-3.45,-2.71,11.61,✅ WIN
2024-11-06,36.52,127.21,0.97,0.15,-0.89,❌ LOS
2024-11-25,17.05,129.31,-2.41,-5.14,-4.94,❌ LOS
2025-01-16,20.12,131.39,1.48,2.61,2.99,✅ WIN
2025-01-17,16.79,133.38,-0.88,0.15,2.74,✅ WIN
2025-05-12,19.08,124.73,2.97,1.69,3.75,✅ WIN
2025-05-15,16.77,130.08,-4.72,-3.38,-2.28,❌ LOS
2025-09-11,19.48,154.68,1.76,1.58,-0.13,❌ LOS
2025-09-19,25.46,158.07,0.13,-1.45,-0.78,❌ LOS
2025-12-08,21.6,175.86,0.54,1.66,4.5,✅ WIN
2025-12-10,19.32,178.72,-2.73,1.08,3.68,✅ WIN
2025-12-11,27.42,179.3,-4.07,0.88,3.48,✅ WIN
2026-01-15,23.01,190.18,-6.4,-3.88,-10.01,❌ LOS
