Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-31,2.98,34.66,-5.32,-2.83,-15.43,❌ LOS
2025-02-03,2.5,34.37,-5.0,-0.48,-13.22,❌ LOS
2025-02-04,6.14,35.41,-6.96,-5.48,-13.59,❌ LOS
2025-08-04,2.16,33.29,5.37,11.69,9.15,✅ WIN
2025-08-06,14.31,36.62,3.94,-0.7,0.32,✅ WIN
2025-08-07,3.67,35.72,6.35,1.21,5.01,✅ WIN
2025-08-13,4.01,38.06,-4.47,-3.36,-1.86,❌ LOS
2025-08-14,2.71,37.99,-4.84,-4.19,-2.35,❌ LOS
2025-08-15,2.36,37.61,-2.56,-2.46,-2.12,❌ LOS
2025-08-18,3.02,37.18,-1.74,-2.27,-1.06,❌ LOS
2025-08-20,2.05,36.36,1.16,1.03,4.22,✅ WIN
2025-08-22,2.17,36.65,0.11,3.94,-2.33,❌ LOS
2025-09-19,2.56,37.84,-5.89,-10.39,-15.33,❌ LOS
