Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-06,14.79,27.7,1.34,-1.87,17.01,✅ WIN
2025-02-12,9.91,28.37,-3.51,-2.21,6.17,✅ WIN
2025-03-06,10.79,33.18,-9.2,-5.69,-20.57,❌ LOS
2025-10-08,14.01,40.38,-6.38,-5.16,-8.58,❌ LOS
2025-12-11,11.57,45.2,-1.12,1.63,5.14,✅ WIN
2026-01-21,9.9,50.89,9.37,9.25,25.78,✅ WIN
2026-01-22,16.54,53.06,4.44,7.15,22.34,✅ WIN
2026-02-02,10.37,56.13,9.86,13.7,6.55,✅ WIN
2026-02-03,10.94,56.29,11.33,14.91,8.17,✅ WIN
2026-02-06,13.7,60.88,0.34,9.28,-8.71,❌ LOS
2026-02-11,14.72,66.2,-3.3,-0.94,-19.39,❌ LOS
2026-02-12,11.45,61.17,6.11,6.04,-17.42,❌ LOS
2026-04-08,12.69,59.77,2.55,1.67,5.08,✅ WIN
2026-04-17,13.37,61.78,-3.79,-8.4,-2.84,❌ LOS
2026-05-20,9.74,63.03,10.07,13.44,0.4,✅ WIN
2026-05-21,13.47,63.98,8.27,4.84,-0.56,❌ LOS
2026-05-22,11.3,65.94,6.22,1.66,-4.21,❌ LOS
2026-05-26,10.04,68.46,4.36,-3.34,-10.39,❌ LOS
2026-05-28,11.29,69.38,3.06,-0.62,-13.87,❌ LOS
2026-06-02,12.34,71.44,-7.38,-4.48,-17.22,❌ LOS
