Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-05-05,284.69,640.2,19.74,9.14,68.63,✅ WIN
2026-05-06,283.73,666.59,20.56,9.81,49.42,✅ WIN
2026-05-07,207.68,646.63,20.01,17.86,33.62,✅ WIN
2026-05-08,454.83,746.81,-2.97,0.56,27.11,✅ WIN
2026-05-11,535.93,795.33,-14.31,12.64,17.67,✅ WIN
2026-05-12,421.58,766.58,-8.85,21.11,16.35,✅ WIN
2026-05-13,374.86,803.63,-8.91,14.92,23.92,✅ WIN
2026-05-14,238.28,776.01,-1.79,25.13,26.49,✅ WIN
2026-05-19,185.75,698.74,32.87,54.5,49.3,✅ WIN
2026-05-20,183.52,731.99,26.17,36.07,54.92,✅ WIN
