Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-11,4.11,15.35,-3.37,10.34,-11.24,❌ LOS
2025-09-03,10.88,15.69,4.67,8.04,11.52,✅ WIN
2025-09-04,8.39,16.61,1.28,3.25,6.66,✅ WIN
2025-09-05,5.93,16.7,-2.19,2.37,6.22,✅ WIN
2025-11-05,3.59,20.21,-0.82,-6.46,7.57,✅ WIN
2025-12-01,3.43,22.23,-3.02,5.26,-2.24,❌ LOS
2025-12-02,3.72,22.12,-0.62,2.58,-2.17,❌ LOS
2025-12-03,5.16,21.87,3.56,3.77,2.06,✅ WIN
2025-12-04,3.5,21.74,7.53,5.45,3.15,✅ WIN
2025-12-05,3.45,22.25,5.69,5.08,2.39,✅ WIN
2025-12-10,5.02,22.65,0.2,-3.31,0.37,✅ WIN
2025-12-11,4.73,23.37,-1.93,-5.66,-7.93,❌ LOS
2025-12-12,3.5,23.52,-0.58,-7.79,-8.21,❌ LOS
2025-12-15,3.2,23.4,-3.73,-7.13,-11.12,❌ LOS
