Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-19,27.86,81.13,4.32,6.29,11.07,✅ WIN
2025-12-11,21.88,98.99,-0.08,6.4,13.62,✅ WIN
2025-12-19,26.08,100.85,-1.46,7.81,17.4,✅ WIN
2026-01-20,24.08,118.42,6.78,-1.51,4.83,✅ WIN
2026-01-21,28.69,118.39,10.97,-1.73,5.46,✅ WIN
2026-01-22,22.16,121.16,4.31,-10.81,0.36,✅ WIN
2026-01-23,22.59,123.77,-9.62,-7.23,-0.05,❌ LOS
2026-01-26,32.84,125.37,-10.38,-4.12,-1.45,❌ LOS
2026-01-27,23.3,126.45,-7.76,-4.31,-1.69,❌ LOS
2026-01-28,27.09,131.38,-11.44,-5.57,-3.4,❌ LOS
2026-01-29,28.73,126.38,-14.5,-6.94,2.42,✅ WIN
2026-02-27,20.46,129.44,-10.37,-15.54,-21.3,❌ LOS
