Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-28,70.35,139.98,0.11,23.27,3.53,✅ WIN
2025-02-06,52.63,141.52,24.72,7.38,-10.44,❌ LOS
2025-02-07,181.34,166.66,2.7,-11.2,-30.03,❌ LOS
2025-02-10,83.31,172.49,-2.13,-17.02,-30.39,❌ LOS
2025-02-11,47.27,172.55,-6.93,-16.01,-30.8,❌ LOS
2025-05-09,52.73,132.34,18.78,19.42,34.35,✅ WIN
2025-07-31,55.06,207.68,1.33,-5.92,2.76,✅ WIN
2025-10-31,112.63,253.3,-8.09,-16.86,-22.15,❌ LOS
2025-11-03,45.95,248.11,-3.06,-18.48,-18.88,❌ LOS
2026-03-18,59.68,225.48,-3.32,-8.89,-12.46,❌ LOS
2026-05-05,76.96,244.43,-23.58,-15.42,8.55,✅ WIN
2026-05-06,48.99,248.59,-22.51,-15.47,8.07,✅ WIN
2026-05-07,108.86,256.79,-22.19,-17.19,-2.6,❌ LOS
2026-05-29,46.29,241.82,3.43,-5.52,0.8,✅ WIN
2026-06-01,122.41,270.82,-8.5,-12.96,-9.43,❌ LOS
2026-06-02,76.4,272.66,-13.4,-15.29,-9.66,❌ LOS
2026-06-03,51.16,265.33,-17.21,-14.5,-8.64,❌ LOS
2026-06-04,55.35,268.64,-15.34,-16.59,-7.85,❌ LOS
2026-07-07,56.18,268.83,4.81,1.29,12.09,✅ WIN
