Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-29,2.45,4.33,-5.36,-6.25,-2.46,❌ LOS
2024-08-30,1.24,4.31,-4.48,-5.61,-2.02,❌ LOS
2025-10-14,0.96,5.47,2.01,42.05,26.14,✅ WIN
2025-10-15,1.59,5.65,-1.77,29.73,24.25,✅ WIN
2025-10-22,0.96,5.55,32.07,23.42,8.65,✅ WIN
2025-10-23,3.13,6.17,15.56,11.99,-4.86,❌ LOS
2025-10-24,2.0,6.3,9.68,8.57,-5.71,❌ LOS
2025-10-27,1.08,6.36,12.42,9.59,-4.25,❌ LOS
2025-10-28,14.02,7.77,-12.36,-11.2,-22.01,❌ LOS
2025-10-29,4.56,7.33,-6.55,-4.23,-17.05,❌ LOS
2025-10-30,1.69,7.13,-3.09,-4.91,-14.73,❌ LOS
2025-10-31,1.48,6.91,-1.01,-2.6,-11.43,❌ LOS
2025-11-03,1.0,7.15,-2.52,-6.85,-13.43,❌ LOS
2026-02-19,1.4,7.6,-1.32,3.29,9.21,✅ WIN
2026-02-20,2.01,7.77,-0.64,-0.39,2.7,✅ WIN
2026-03-02,3.11,8.26,-4.48,4.72,-3.63,❌ LOS
2026-03-03,1.75,8.07,-3.35,5.95,-0.37,❌ LOS
2026-03-04,1.14,8.15,-3.07,2.58,1.47,✅ WIN
