Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-16,13.91,225.99,-3.69,-6.18,-6.44,❌ LOS
2025-01-22,16.06,225.03,1.64,-8.72,-13.97,❌ LOS
2025-01-23,14.4,226.84,-10.71,-9.78,-17.26,❌ LOS
2025-01-27,24.79,228.12,-10.49,-10.42,-19.14,❌ LOS
2025-01-28,34.6,234.08,-13.69,-13.79,-19.52,❌ LOS
2025-01-29,32.12,228.73,-10.19,-14.1,-19.47,❌ LOS
2025-04-24,46.59,187.71,2.06,3.83,8.23,✅ WIN
2025-04-25,29.83,189.05,3.4,3.68,6.25,✅ WIN
2025-04-28,18.54,187.48,4.34,8.34,9.6,✅ WIN
2025-04-29,12.67,188.57,2.38,9.95,8.32,✅ WIN
2025-05-01,15.45,191.59,1.73,8.06,5.55,✅ WIN
2025-05-02,16.78,195.47,0.28,6.43,3.56,✅ WIN
2025-05-07,18.68,196.66,4.43,3.2,3.49,✅ WIN
2025-05-08,17.42,194.9,6.23,4.24,5.72,✅ WIN
2025-05-09,12.63,196.01,6.13,2.48,4.78,✅ WIN
2025-05-12,24.51,203.12,1.0,1.16,-0.57,❌ LOS
2025-05-13,24.28,207.34,-1.44,-1.49,-3.12,❌ LOS
2025-05-19,12.67,205.15,0.16,-1.45,-2.03,❌ LOS
2026-05-29,24.36,124.37,-9.58,-17.87,-19.62,❌ LOS
2026-06-01,38.68,135.86,-15.95,-23.34,-26.92,❌ LOS
2026-06-02,16.73,127.65,-16.2,-20.62,-17.12,❌ LOS
