Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-19,29.6,123.01,-4.22,-4.73,-4.45,❌ LOS
2026-05-22,75.88,138.94,28.95,22.21,13.25,✅ WIN
2026-05-26,54.87,138.53,26.41,18.75,11.95,✅ WIN
2026-05-27,65.45,142.31,26.86,12.55,8.3,✅ WIN
2026-05-28,57.31,141.97,25.61,12.69,7.06,✅ WIN
2026-05-29,203.17,173.76,-4.16,-7.28,-11.03,❌ LOS
2026-06-01,81.96,179.16,-5.23,-9.95,-13.88,❌ LOS
2026-06-02,57.97,175.11,-6.06,-8.19,-10.97,❌ LOS
2026-06-03,45.86,180.53,-11.28,-14.51,-14.86,❌ LOS
2026-06-04,39.35,178.33,-10.29,-10.71,-8.56,❌ LOS
2026-06-05,27.87,166.53,-3.25,-5.23,-0.75,❌ LOS
2026-06-08,24.54,169.79,-4.99,-7.33,-2.88,❌ LOS
2026-07-09,23.03,171.21,-6.73,-3.84,11.84,✅ WIN
