Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-31,8.97,68.76,2.57,2.48,12.62,✅ WIN
2025-02-27,22.59,76.54,-6.77,-12.83,-5.98,❌ LOS
2025-02-28,11.77,76.89,-8.43,-9.65,-7.63,❌ LOS
2025-03-03,9.97,77.44,-16.85,-8.17,-9.85,❌ LOS
2025-03-05,9.97,77.1,-12.1,-5.53,-7.43,❌ LOS
2025-05-08,13.48,74.42,8.38,7.31,3.61,✅ WIN
2025-05-09,8.95,75.1,10.21,6.21,0.45,✅ WIN
2025-05-12,23.21,76.85,8.09,2.8,-2.69,❌ LOS
2025-05-13,61.43,82.4,-1.19,-4.28,-10.11,❌ LOS
2025-05-14,22.12,81.83,-2.24,-7.31,-10.06,❌ LOS
2025-05-15,12.21,80.66,-0.99,-4.92,-10.58,❌ LOS
2025-05-16,20.71,82.77,-3.64,-6.9,-12.53,❌ LOS
2025-05-19,10.43,83.07,-4.9,-6.44,-11.34,❌ LOS
2025-05-20,13.36,81.42,-3.13,-5.26,-9.62,❌ LOS
2025-09-08,10.21,74.98,4.31,0.53,-0.83,❌ LOS
2025-09-11,17.04,81.12,-3.65,-5.74,-15.22,❌ LOS
2025-09-12,10.58,79.23,-2.7,-2.63,-13.74,❌ LOS
2025-09-16,8.76,77.7,-2.07,-4.26,-12.56,❌ LOS
2025-09-18,9.08,78.16,-2.18,-1.59,-14.61,❌ LOS
2025-09-19,48.13,77.09,0.08,-1.13,-12.23,❌ LOS
