Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,16.38,163.71,-9.26,-11.67,-13.22,❌ LOS
2025-10-28,24.67,150.96,-5.07,-5.23,2.8,✅ WIN
2025-10-29,19.45,153.38,-5.94,-3.92,3.04,✅ WIN
2025-10-30,13.51,148.72,-3.39,-2.62,6.51,✅ WIN
2025-12-01,13.39,159.61,-0.87,0.82,2.55,✅ WIN
2025-12-03,26.05,163.59,-0.23,-2.44,3.2,✅ WIN
2025-12-04,17.33,161.44,2.48,-2.9,3.79,✅ WIN
2025-12-05,14.97,158.37,3.55,-0.19,6.57,✅ WIN
2025-12-10,20.34,163.21,-2.22,0.71,-0.0,❌ LOS
2025-12-11,17.14,165.44,-5.25,-0.13,-0.02,❌ LOS
2026-01-21,18.3,179.62,-3.91,5.39,-0.11,❌ LOS
2026-01-22,16.21,179.66,-0.2,3.46,-0.14,❌ LOS
2026-01-23,14.44,181.03,-2.16,6.16,-1.54,❌ LOS
2026-01-26,14.05,177.06,1.86,8.68,-1.41,❌ LOS
2026-01-29,13.04,179.3,3.66,4.95,-1.68,❌ LOS
2026-01-30,21.04,177.12,8.51,3.1,1.6,✅ WIN
2026-02-02,17.26,180.34,6.7,1.48,-1.97,❌ LOS
2026-02-03,20.31,185.87,2.94,-1.05,-5.59,❌ LOS
2026-02-04,21.02,189.3,2.35,-5.22,-9.4,❌ LOS
2026-02-06,15.3,192.18,-4.98,-7.25,-12.12,❌ LOS
2026-02-09,12.75,192.42,-4.89,-9.29,-11.73,❌ LOS
