Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-06,5.32,27.28,-22.89,-4.85,-35.41,❌ LOS
2025-07-11,5.19,25.44,8.83,9.85,21.05,✅ WIN
2025-07-15,8.68,27.19,-4.5,5.11,13.63,✅ WIN
2025-07-31,5.28,29.32,2.97,3.99,1.19,✅ WIN
2025-09-22,5.47,30.36,-2.26,1.49,-2.74,❌ LOS
2025-10-09,5.91,33.11,-11.47,-11.33,-6.65,❌ LOS
2025-10-28,6.37,35.56,-2.75,-8.82,-23.56,❌ LOS
2025-10-29,7.46,37.66,-11.5,-13.51,-25.99,❌ LOS
2025-11-03,7.94,37.58,-8.35,-19.86,-25.0,❌ LOS
2026-02-25,6.57,31.35,-13.45,-10.95,-18.41,❌ LOS
2026-04-17,6.83,32.08,6.2,-4.19,22.01,✅ WIN
2026-04-20,5.33,32.22,14.27,-4.39,18.29,✅ WIN
2026-04-24,11.1,34.07,-9.78,5.53,4.47,✅ WIN
2026-04-27,15.21,36.81,-16.33,1.54,-3.74,❌ LOS
2026-04-28,10.13,35.64,-15.49,6.18,-2.66,❌ LOS
2026-05-11,5.56,37.38,1.95,-5.2,-12.08,❌ LOS
2026-05-12,5.37,37.84,-0.82,-8.32,-19.65,❌ LOS
2026-05-13,11.31,39.56,-2.78,-10.91,-19.83,❌ LOS
2026-05-14,12.75,43.02,-13.84,-20.4,-26.01,❌ LOS
2026-05-20,8.35,38.46,-8.36,-5.13,-13.56,❌ LOS
2026-05-21,6.9,37.06,-7.62,-13.74,-11.67,❌ LOS
