Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-06,3.83,103.98,-3.45,-23.26,-24.76,❌ LOS
2024-12-09,3.95,104.28,-2.73,-20.14,-22.9,❌ LOS
2024-12-10,2.01,102.5,-1.08,-19.98,-21.0,❌ LOS
2024-12-11,3.04,104.85,-5.13,-21.52,-24.24,❌ LOS
2025-02-25,1.92,85.38,-3.79,-14.12,-19.08,❌ LOS
2025-06-06,1.77,71.19,6.97,-6.58,-6.69,❌ LOS
2025-06-09,1.76,71.98,2.07,-6.27,-7.65,❌ LOS
2025-06-10,3.45,75.67,-6.29,-15.1,-10.49,❌ LOS
2025-06-11,2.25,75.1,-6.0,-14.01,-12.45,❌ LOS
2025-06-12,3.49,77.31,-8.98,-15.47,-14.94,❌ LOS
2025-06-13,2.29,76.15,-12.66,-13.54,-15.8,❌ LOS
2025-09-18,1.7,59.66,-9.39,-5.03,-9.31,❌ LOS
2026-01-09,3.22,56.73,5.99,8.79,-16.05,❌ LOS
2026-01-12,2.38,57.74,1.37,5.06,-17.94,❌ LOS
2026-01-13,2.04,57.53,-0.54,1.16,-18.28,❌ LOS
2026-01-16,4.94,60.12,2.65,-5.45,-20.79,❌ LOS
2026-01-20,2.8,58.53,3.64,-17.11,-18.87,❌ LOS
2026-01-21,2.19,57.22,1.7,-20.45,-18.32,❌ LOS
2026-01-22,2.38,60.03,-4.66,-30.36,-23.8,❌ LOS
2026-01-23,3.11,60.06,-4.55,-23.48,-36.35,❌ LOS
2026-01-26,2.19,61.72,-7.89,-22.84,-39.68,❌ LOS
