Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-04,6.68,55.03,-11.33,-11.59,-16.05,❌ LOS
2025-08-06,25.38,61.42,-2.15,-3.29,-4.46,❌ LOS
2025-08-07,6.95,57.69,3.33,2.51,1.37,✅ WIN
2025-08-13,7.9,60.1,-1.17,-1.3,-3.43,❌ LOS
2025-11-07,9.02,61.02,4.22,4.48,6.37,✅ WIN
2025-11-10,7.74,62.26,0.61,2.01,4.57,✅ WIN
2025-11-12,7.02,62.91,0.79,2.86,7.11,✅ WIN
2025-11-13,9.1,64.15,-1.49,0.02,5.4,✅ WIN
2025-11-14,7.47,63.6,0.25,1.31,5.61,✅ WIN
2025-11-19,6.46,63.41,2.05,0.45,10.79,✅ WIN
2025-12-17,6.41,69.13,2.17,0.46,3.13,✅ WIN
2025-12-18,7.52,70.26,-0.67,-0.74,-0.23,❌ LOS
2025-12-19,11.26,70.41,-1.78,-1.73,0.4,✅ WIN
2026-02-25,8.45,77.17,4.83,1.1,10.07,✅ WIN
2026-02-26,6.22,78.62,3.94,-0.99,5.23,✅ WIN
2026-02-27,9.64,79.57,0.81,-0.6,3.76,✅ WIN
2026-03-02,7.79,80.2,0.48,-0.83,3.52,✅ WIN
2026-03-03,8.24,81.19,-3.17,-1.45,2.85,✅ WIN
2026-03-04,9.17,80.9,-3.56,-0.89,5.55,✅ WIN
2026-03-05,13.11,81.72,-4.75,-0.82,4.85,✅ WIN
2026-03-06,6.37,80.22,-1.4,0.66,6.13,✅ WIN
