Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,56.08,227.95,-1.99,-6.89,-11.72,❌ LOS
2024-11-07,21.72,220.75,0.23,-2.03,-8.82,❌ LOS
2024-11-11,36.31,229.59,-7.7,-2.9,-11.43,❌ LOS
2024-11-12,33.35,224.12,-6.42,-0.15,-9.4,❌ LOS
2024-11-13,23.56,223.41,-5.0,-0.66,-9.89,❌ LOS
2024-11-25,21.38,222.92,-2.9,-8.78,-19.25,❌ LOS
2026-02-04,77.83,208.25,-6.75,-6.41,1.17,✅ WIN
2026-02-05,30.6,201.86,-8.23,-0.37,-3.91,❌ LOS
2026-02-06,23.21,202.19,-4.57,-4.24,-2.46,❌ LOS
2026-03-04,22.44,216.19,-12.68,-15.55,-7.66,❌ LOS
2026-03-05,18.77,210.68,-16.35,-13.44,-6.02,❌ LOS
2026-04-06,19.22,202.18,2.7,10.49,-4.95,❌ LOS
2026-04-08,21.81,207.53,-1.13,6.0,-3.33,❌ LOS
2026-04-16,23.64,213.57,4.31,-0.53,-6.91,❌ LOS
2026-04-17,21.1,217.76,1.02,-5.49,-6.72,❌ LOS
2026-04-20,26.84,223.38,-1.28,-13.97,-8.62,❌ LOS
2026-04-21,23.39,224.42,-1.18,-12.63,-8.89,❌ LOS
2026-04-23,20.45,222.78,-4.65,-11.1,-6.77,❌ LOS
2026-04-27,28.41,220.53,-12.86,-11.52,-1.78,❌ LOS
