Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-23,0.44,2.33,-11.53,-1.15,8.82,✅ WIN
2025-08-29,0.22,2.87,2.36,-2.02,-9.09,❌ LOS
2025-09-02,0.2,2.88,0.67,-3.69,-8.72,❌ LOS
2025-09-08,0.21,2.94,-4.28,-4.61,-14.17,❌ LOS
2026-02-04,0.22,2.44,4.44,4.03,2.82,✅ WIN
2026-02-06,0.24,2.53,3.11,-2.33,-3.89,❌ LOS
2026-02-12,0.27,2.49,1.19,-1.58,-8.3,❌ LOS
2026-04-17,0.24,2.49,-0.8,17.93,15.54,✅ WIN
2026-04-23,0.23,2.48,14.8,13.6,19.2,✅ WIN
2026-04-28,0.53,2.65,4.49,9.36,9.74,✅ WIN
2026-04-29,0.6,2.81,2.47,2.47,3.89,✅ WIN
2026-04-30,0.33,2.85,-1.05,3.83,3.83,✅ WIN
2026-05-01,0.37,2.94,-2.7,-2.03,0.68,✅ WIN
2026-05-08,0.29,2.86,0.69,4.17,-2.08,❌ LOS
2026-05-11,0.22,2.85,1.39,4.18,-1.05,❌ LOS
2026-05-12,0.23,2.9,0.0,0.34,-4.11,❌ LOS
2026-05-14,0.32,2.96,0.0,0.0,-6.38,❌ LOS
2026-06-26,0.86,2.89,-1.75,-5.9,-8.67,❌ LOS
