Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-07-17,2.01,14.64,2.94,3.96,16.67,✅ WIN
2025-07-18,1.84,14.97,1.0,0.67,16.57,✅ WIN
2025-07-22,3.61,15.23,-4.66,9.19,11.49,✅ WIN
2025-07-23,4.83,15.36,-4.2,14.39,14.39,✅ WIN
2025-07-24,1.84,15.07,1.0,9.22,14.66,✅ WIN
2025-07-25,1.63,15.12,-0.33,9.19,17.66,✅ WIN
2025-08-04,2.33,16.53,-0.57,2.63,-1.42,❌ LOS
2025-08-06,2.1,17.57,3.02,0.0,-2.45,❌ LOS
2025-08-28,8.17,18.51,-6.59,-3.03,-5.29,❌ LOS
2026-02-11,1.82,12.39,-1.53,-1.78,-19.94,❌ LOS
2026-04-10,5.26,12.31,9.83,2.36,-15.43,❌ LOS
2026-04-17,6.45,13.52,-6.8,-18.34,-25.22,❌ LOS
2026-04-20,2.23,13.63,-11.23,-19.52,-27.29,❌ LOS
