Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-02-19,16.57,50.82,-0.19,3.32,16.17,✅ WIN
2026-02-20,8.07,51.12,2.39,4.53,17.67,✅ WIN
2026-02-23,8.67,51.71,3.39,4.94,15.58,✅ WIN
2026-02-27,6.83,52.35,2.09,9.56,23.64,✅ WIN
2026-03-02,15.99,53.46,1.49,6.11,22.77,✅ WIN
2026-03-03,10.86,52.94,-0.57,8.06,21.66,✅ WIN
2026-03-04,5.72,52.87,4.17,9.41,16.63,✅ WIN
2026-03-05,8.03,52.5,10.23,12.44,18.84,✅ WIN
2026-03-06,14.31,53.44,7.32,12.56,16.74,✅ WIN
2026-03-09,16.8,54.26,4.55,10.14,14.94,✅ WIN
2026-03-10,7.52,52.63,8.68,15.3,12.52,✅ WIN
2026-03-12,13.24,57.88,2.0,10.19,-0.75,❌ LOS
2026-03-19,8.0,59.04,8.02,5.69,-9.72,❌ LOS
2026-03-20,8.21,60.15,7.59,3.71,-10.26,❌ LOS
2026-03-23,7.51,59.76,9.83,4.36,-6.6,❌ LOS
2026-03-25,5.69,61.28,0.61,-5.37,-6.5,❌ LOS
2026-03-26,9.77,63.77,-2.16,-9.93,-11.25,❌ LOS
2026-03-27,9.33,64.72,-3.61,-11.11,-12.32,❌ LOS
2026-03-30,13.48,65.63,-4.98,-16.39,-11.52,❌ LOS
2026-03-31,13.63,64.41,-8.05,-14.11,-6.52,❌ LOS
2026-07-23,5.86,57.34,-2.86,-2.71,6.81,✅ WIN
