Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-02,5.48,54.12,2.11,1.23,4.7,✅ WIN
2024-08-05,6.22,54.0,1.91,2.84,5.69,✅ WIN
2024-08-06,4.5,55.15,-0.22,0.2,4.2,✅ WIN
2025-08-20,4.63,57.77,-2.25,-2.26,-0.87,❌ LOS
2026-01-14,4.65,59.53,0.9,0.78,7.89,✅ WIN
2026-01-15,4.32,59.94,0.03,1.17,8.62,✅ WIN
2026-01-16,5.28,60.63,-1.66,-1.01,8.74,✅ WIN
2026-01-20,5.47,60.83,-1.14,0.19,6.07,✅ WIN
2026-01-21,5.02,60.99,-2.78,1.54,6.48,✅ WIN
2026-01-22,4.7,60.07,-0.12,4.59,9.18,✅ WIN
2026-02-11,3.96,63.95,1.55,3.26,1.23,✅ WIN
2026-02-12,7.68,64.23,2.1,3.85,-0.12,❌ LOS
2026-02-13,4.53,65.1,1.55,3.31,-0.72,❌ LOS
2026-02-17,5.93,65.93,0.05,0.51,-3.22,❌ LOS
2026-02-18,5.52,64.52,1.41,1.84,-2.73,❌ LOS
2026-02-19,3.7,64.95,1.68,-0.67,-3.98,❌ LOS
2026-02-20,4.02,65.58,1.71,-1.32,-7.47,❌ LOS
2026-02-23,4.81,66.12,1.73,-2.21,-8.37,❌ LOS
2026-02-24,4.43,65.96,0.47,-2.07,-8.74,❌ LOS
2026-02-27,7.19,66.7,-2.99,-3.82,-9.42,❌ LOS
2026-03-02,4.41,67.26,-3.88,-3.91,-9.49,❌ LOS
