Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-18,1.01,8.35,0.12,1.32,24.19,✅ WIN
2024-11-04,0.94,8.52,21.95,24.88,25.12,✅ WIN
2024-11-05,10.04,10.3,2.72,5.15,5.34,✅ WIN
2024-11-06,5.85,10.35,-0.29,4.83,4.25,✅ WIN
2024-11-07,3.26,10.68,-3.28,0.94,2.53,✅ WIN
2024-11-08,4.06,10.81,-4.07,1.11,-6.38,❌ LOS
2024-11-11,2.6,10.39,2.41,5.29,-2.5,❌ LOS
2024-11-12,3.45,10.58,2.36,4.44,-2.08,❌ LOS
2024-11-13,1.62,10.32,5.14,5.33,-0.1,❌ LOS
2024-11-14,1.39,10.33,4.36,5.61,-0.48,❌ LOS
2024-11-15,1.43,10.37,5.4,2.51,0.77,✅ WIN
2024-11-18,1.94,10.64,2.82,0.19,-3.48,❌ LOS
2024-11-19,2.09,10.83,2.03,0.18,-8.31,❌ LOS
2024-11-20,2.03,10.85,0.18,-0.55,-7.19,❌ LOS
2024-11-21,1.25,10.78,1.21,1.58,-6.12,❌ LOS
2024-11-22,1.6,10.93,-2.74,-7.41,-8.6,❌ LOS
2025-01-16,1.1,10.73,-5.03,-1.21,-1.58,❌ LOS
2025-05-12,0.96,7.18,-0.56,-4.46,-4.46,❌ LOS
