Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,14.0,139.85,-0.73,-3.92,-3.53,❌ LOS
2024-11-08,10.45,140.76,-3.78,-2.77,-5.13,❌ LOS
2024-11-12,10.02,140.22,-4.96,-1.22,-4.57,❌ LOS
2024-11-13,8.15,138.83,-3.21,-0.56,-3.64,❌ LOS
2025-01-27,9.46,140.26,0.39,-0.04,2.67,✅ WIN
2025-01-28,8.41,139.73,1.38,-0.28,1.87,✅ WIN
2025-02-28,7.23,144.64,1.19,-4.11,-0.42,❌ LOS
2025-03-04,11.64,144.96,-3.62,-3.3,1.7,✅ WIN
2025-03-07,7.11,146.37,-5.24,-6.82,-6.62,❌ LOS
2025-03-10,11.03,147.36,-4.23,-6.27,-9.08,❌ LOS
2025-03-31,7.45,147.13,-8.94,-3.38,-5.1,❌ LOS
2025-04-03,7.17,146.42,-5.94,-5.62,-2.42,❌ LOS
2025-05-12,10.72,145.7,4.29,4.8,2.39,✅ WIN
2025-05-14,7.5,146.01,2.77,3.56,0.97,✅ WIN
2025-05-15,9.35,148.33,1.13,2.25,-0.78,❌ LOS
2025-05-16,9.47,149.82,0.07,0.97,-1.47,❌ LOS
2025-05-19,11.5,151.94,0.49,0.04,-3.58,❌ LOS
2025-05-20,9.38,151.44,-0.43,1.05,-4.66,❌ LOS
2025-05-21,7.28,150.05,0.77,1.98,-4.54,❌ LOS
2025-05-27,11.78,152.69,-0.45,-2.3,-13.23,❌ LOS
2025-05-30,9.06,151.67,1.18,-2.97,-7.88,❌ LOS
