Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-23,17.18,133.33,-2.58,-2.61,6.38,✅ WIN
2024-08-30,12.35,129.9,-0.04,6.39,9.18,✅ WIN
2024-09-18,11.54,139.31,-0.38,1.64,4.12,✅ WIN
2024-09-19,17.48,143.25,-3.46,-1.39,0.68,✅ WIN
2024-09-20,34.75,140.17,0.92,-1.71,5.06,✅ WIN
2024-09-24,13.5,141.56,0.94,-2.16,-6.6,❌ LOS
2025-07-09,11.43,113.11,-3.94,4.84,5.68,✅ WIN
2025-07-22,12.63,120.47,-3.39,-0.12,7.59,✅ WIN
2025-08-13,13.8,129.21,-2.63,0.82,6.69,✅ WIN
2025-08-19,11.05,129.61,0.58,2.25,3.03,✅ WIN
2025-08-22,14.23,131.56,-0.23,6.87,-2.18,❌ LOS
2025-08-25,12.18,131.51,-0.14,3.36,-1.53,❌ LOS
2025-09-05,11.17,139.75,-2.47,-6.01,-1.95,❌ LOS
2026-01-09,16.39,131.92,-1.49,-5.39,0.13,✅ WIN
2026-01-12,13.17,132.95,-4.82,-7.02,3.08,✅ WIN
2026-02-11,12.09,139.02,0.21,-2.63,-13.54,❌ LOS
2026-02-12,15.57,138.59,0.81,-1.22,-14.18,❌ LOS
2026-02-13,18.66,142.26,-1.65,-6.2,-14.3,❌ LOS
2026-02-17,15.59,141.28,-0.48,-6.75,-13.67,❌ LOS
2026-02-18,15.91,141.8,-5.27,-6.98,-17.43,❌ LOS
