Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-21,11.21,111.52,2.51,0.89,3.72,✅ WIN
2025-01-27,11.73,115.31,-2.81,-1.47,1.12,✅ WIN
2025-05-12,10.45,105.86,0.29,-3.36,-0.76,❌ LOS
2025-10-15,19.67,119.97,2.6,0.58,1.69,✅ WIN
2025-10-16,10.53,118.41,3.8,2.53,2.34,✅ WIN
2025-10-17,14.27,121.26,1.89,0.01,-1.01,❌ LOS
2025-10-20,14.89,124.29,-0.08,-2.33,-2.88,❌ LOS
2025-10-27,9.09,124.19,-2.25,-1.72,-0.5,❌ LOS
2025-10-31,11.48,121.27,1.22,-1.02,3.9,✅ WIN
2026-02-11,11.93,137.76,-0.6,1.99,-5.7,❌ LOS
2026-02-12,10.76,134.32,3.76,4.54,-3.39,❌ LOS
2026-02-13,9.19,136.87,1.27,2.7,-3.53,❌ LOS
2026-02-17,10.2,139.63,-1.04,-0.54,-5.28,❌ LOS
2026-02-18,8.72,137.52,0.29,-0.15,-5.28,❌ LOS
2026-02-23,12.56,138.61,1.41,-3.97,-6.67,❌ LOS
2026-04-10,9.97,136.2,5.77,3.58,5.03,✅ WIN
2026-04-15,11.58,138.76,1.18,-0.68,1.6,✅ WIN
2026-04-16,15.23,141.15,0.12,-0.11,0.34,✅ WIN
2026-04-17,18.55,144.05,-2.07,-2.54,-3.15,❌ LOS
2026-04-20,12.42,143.99,-3.45,-4.32,-1.88,❌ LOS
2026-04-21,10.68,140.9,-0.27,-1.16,0.37,✅ WIN
