Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-17,0.75,2.0,20.0,46.5,92.5,✅ WIN
2025-09-19,0.91,2.18,8.72,74.77,55.96,✅ WIN
2025-09-22,2.72,2.65,-14.34,55.85,28.3,✅ WIN
2025-09-23,3.36,2.53,-7.91,52.96,23.32,✅ WIN
2025-09-24,1.16,2.4,22.08,52.5,21.67,✅ WIN
2025-10-01,2.36,2.93,24.91,31.4,-5.8,❌ LOS
2025-10-02,1.13,2.83,33.57,22.97,-6.36,❌ LOS
2025-10-03,7.77,3.81,-10.24,-10.76,-29.4,❌ LOS
2025-10-06,5.58,4.13,-5.57,-17.68,-33.41,❌ LOS
2025-10-07,1.82,3.87,4.65,-19.38,-34.88,❌ LOS
2025-10-08,1.04,3.66,5.19,-20.22,-27.87,❌ LOS
2025-10-09,1.2,3.78,-7.94,-23.81,-33.6,❌ LOS
2025-10-13,1.13,3.9,-12.82,-24.1,-34.36,❌ LOS
2025-10-14,1.44,4.05,-22.96,-31.11,-37.53,❌ LOS
2025-10-15,1.15,3.85,-24.16,-28.31,-29.09,❌ LOS
2025-10-16,0.75,3.48,-17.24,-23.85,-28.45,❌ LOS
2026-04-20,1.18,3.22,-4.35,-2.8,7.14,✅ WIN
