Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-06,56.83,137.98,2.66,6.25,3.87,✅ WIN
2025-02-07,25.44,137.11,4.19,8.22,4.28,✅ WIN
2025-02-10,21.39,139.16,1.52,7.4,3.77,✅ WIN
2025-02-11,19.96,140.5,1.23,4.57,2.26,✅ WIN
2025-02-12,20.38,142.31,1.12,2.76,0.4,✅ WIN
2025-02-18,24.27,141.28,5.79,3.46,3.39,✅ WIN
2025-02-19,21.96,142.23,3.3,2.23,3.0,✅ WIN
2025-02-20,23.92,143.91,1.62,1.31,1.48,✅ WIN
2025-02-21,26.0,146.6,0.57,-2.23,-1.03,❌ LOS
2025-02-24,32.6,148.38,1.61,-3.64,-2.17,❌ LOS
2025-02-25,35.93,149.46,-2.2,-3.38,-2.46,❌ LOS
2025-02-26,22.01,146.92,-1.03,-2.21,0.62,✅ WIN
2026-01-28,19.69,175.55,1.01,4.3,4.99,✅ WIN
2026-01-29,26.08,174.87,2.31,6.22,5.03,✅ WIN
2026-01-30,24.27,176.39,1.88,4.5,2.44,✅ WIN
2026-05-11,36.97,180.61,5.16,-0.32,-1.99,❌ LOS
2026-05-12,33.61,185.39,2.48,-2.62,-2.13,❌ LOS
2026-05-14,28.02,190.28,-1.77,-7.55,-3.94,❌ LOS
2026-05-15,28.35,188.05,-0.33,-8.94,-4.11,❌ LOS
2026-05-19,31.24,189.99,-4.97,-8.16,-6.33,❌ LOS
2026-05-20,27.23,187.08,-5.33,-7.23,-5.42,❌ LOS
