Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-16,9.38,111.12,-3.51,-3.27,-4.42,❌ LOS
2026-01-16,9.64,108.88,2.2,5.66,17.2,✅ WIN
2026-01-22,8.11,112.53,2.28,9.23,11.72,✅ WIN
2026-01-28,16.71,112.57,10.52,14.98,8.98,✅ WIN
2026-01-29,9.63,115.09,6.79,12.92,6.41,✅ WIN
2026-02-03,10.82,118.07,8.05,7.3,-0.96,❌ LOS
2026-02-04,21.71,124.42,4.03,-1.35,-10.67,❌ LOS
2026-02-05,12.35,122.91,5.74,2.28,-13.75,❌ LOS
2026-02-06,10.54,124.97,3.82,-0.35,-13.94,❌ LOS
2026-02-09,10.41,126.04,1.25,-1.03,-16.56,❌ LOS
2026-02-10,10.16,127.57,-0.69,-4.11,-18.94,❌ LOS
2026-02-11,10.76,129.44,-5.17,-5.22,-22.68,❌ LOS
2026-02-12,18.06,129.96,-3.27,-5.76,-22.11,❌ LOS
2026-02-13,11.64,129.74,-4.01,-8.72,-20.78,❌ LOS
2026-02-17,14.73,127.61,-2.25,-7.99,-19.11,❌ LOS
2026-02-18,16.82,126.69,-3.45,-7.7,-20.97,❌ LOS
2026-04-17,16.45,114.11,-4.4,-6.39,-10.05,❌ LOS
