Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-13,0.17,1.26,-0.79,3.97,-13.49,❌ LOS
2025-01-15,0.12,1.3,6.92,-6.92,-14.62,❌ LOS
2025-01-16,0.18,1.32,0.76,-12.12,-16.67,❌ LOS
2025-01-17,0.07,1.31,0.0,-10.69,-22.9,❌ LOS
2025-01-23,0.08,1.39,-12.95,-22.3,-32.37,❌ LOS
2025-03-05,0.4,1.24,-12.1,-18.55,-16.13,❌ LOS
2025-07-23,0.09,0.88,-6.82,-4.55,-18.18,❌ LOS
2025-09-03,1.08,1.14,-24.56,-33.33,-37.72,❌ LOS
2025-09-04,0.76,1.1,-23.64,-29.09,-35.45,❌ LOS
2025-09-05,0.25,1.09,-26.61,-32.11,-35.78,❌ LOS
2025-09-08,0.19,1.06,-28.3,-31.13,-33.96,❌ LOS
2025-09-09,0.19,0.94,-15.96,-24.47,-26.6,❌ LOS
2026-02-12,0.12,0.65,3.08,9.23,21.54,✅ WIN
2026-02-17,0.09,0.72,-5.56,2.78,9.72,✅ WIN
2026-02-18,0.07,0.72,-2.78,13.89,6.94,✅ WIN
2026-02-19,0.07,0.69,1.45,11.59,13.04,✅ WIN
