Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,10.53,119.1,-1.21,-5.8,-7.34,❌ LOS
2025-12-08,6.44,108.36,5.63,3.15,4.96,✅ WIN
2025-12-10,8.59,111.7,0.8,-0.18,2.89,✅ WIN
2025-12-11,10.24,113.93,-1.28,-2.63,0.59,✅ WIN
2025-12-12,7.76,113.84,-1.68,-3.1,-0.32,❌ LOS
2025-12-15,6.85,114.47,-2.35,-3.32,0.09,✅ WIN
2025-12-16,9.34,113.96,-2.48,-3.59,-0.56,❌ LOS
2025-12-17,6.88,112.6,-0.98,-1.56,-3.45,❌ LOS
2025-12-19,8.83,111.93,-1.44,2.33,-4.78,❌ LOS
2026-06-16,7.12,109.16,-2.66,1.75,8.33,✅ WIN
2026-06-18,7.47,106.53,1.61,7.27,10.74,✅ WIN
2026-06-22,6.3,108.26,0.87,6.66,9.54,✅ WIN
