Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,0.33,4.03,1.34,4.97,3.46,✅ WIN
2024-09-03,0.16,3.98,2.33,4.65,4.67,✅ WIN
2024-09-04,0.15,4.01,2.11,4.03,2.3,✅ WIN
2024-09-05,0.12,4.03,3.44,4.78,2.11,✅ WIN
2024-09-06,0.16,4.07,5.11,3.98,0.56,✅ WIN
2024-09-09,0.17,4.08,3.58,2.64,-0.77,❌ LOS
2024-09-12,0.14,4.17,1.29,-1.29,-3.72,❌ LOS
2024-09-13,0.37,4.28,-1.08,-3.24,-7.43,❌ LOS
2024-09-16,0.34,4.23,-0.91,-1.44,-5.86,❌ LOS
2024-09-17,0.21,4.16,1.3,0.01,-2.98,❌ LOS
2024-09-18,0.28,4.18,-1.66,-1.66,-1.47,❌ LOS
2024-09-19,0.26,4.22,-2.55,-2.55,-2.55,❌ LOS
2024-09-20,0.23,4.23,-2.18,-3.28,-2.36,❌ LOS
2024-09-23,0.1,4.19,-0.53,-3.32,-0.91,❌ LOS
2024-09-24,0.11,4.21,-1.27,-5.33,-1.45,❌ LOS
2024-10-28,0.12,4.15,-3.61,-16.89,-8.73,❌ LOS
2026-01-14,0.13,2.81,-3.05,-5.64,-0.47,❌ LOS
2026-01-15,0.1,2.81,-2.03,-4.61,5.04,✅ WIN
2026-02-13,0.13,2.95,-7.21,-8.39,-16.06,❌ LOS
