Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-07-30,17.34,138.3,-9.57,-8.5,-7.93,❌ LOS
2025-05-13,36.19,121.12,-2.79,-9.33,-2.75,❌ LOS
2025-12-11,14.58,142.26,-9.97,-10.93,-3.19,❌ LOS
2026-02-03,17.66,146.88,6.23,6.29,12.14,✅ WIN
2026-02-04,23.53,153.43,4.4,0.47,8.48,✅ WIN
2026-02-06,18.64,156.51,1.25,-1.06,4.14,✅ WIN
2026-02-09,16.07,156.22,0.42,-1.19,4.02,✅ WIN
2026-02-11,16.91,160.18,-3.77,-4.82,8.68,✅ WIN
2026-02-17,28.2,156.87,-1.6,1.85,10.1,✅ WIN
2026-02-18,14.84,156.12,-2.69,5.51,10.65,✅ WIN
