Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-09,5.75,89.23,1.44,-3.44,-2.29,❌ LOS
2024-12-11,4.4,89.97,-5.84,-2.88,-7.45,❌ LOS
2024-12-13,4.05,90.24,-4.27,-6.14,-1.52,❌ LOS
2024-12-17,3.79,90.08,-2.87,-5.15,1.05,✅ WIN
2025-01-17,6.88,91.02,-1.71,-2.51,-14.37,❌ LOS
2025-01-21,3.97,89.0,-1.76,-13.42,-12.71,❌ LOS
2025-01-23,3.96,88.96,-0.18,-12.44,-16.47,❌ LOS
2025-01-31,4.64,87.82,-12.72,-11.98,-21.26,❌ LOS
2025-02-03,6.56,88.74,-12.59,-12.17,-24.61,❌ LOS
2025-05-08,4.01,69.87,1.55,1.38,4.19,✅ WIN
2025-05-12,5.7,71.69,0.01,-1.15,3.39,✅ WIN
2025-10-07,6.32,73.97,-7.32,-6.11,-11.43,❌ LOS
2025-10-08,4.8,75.48,-10.71,-10.59,-10.6,❌ LOS
2025-10-09,4.05,75.1,-12.81,-8.04,-12.53,❌ LOS
2026-07-15,25.77,55.52,-0.02,5.1,6.63,✅ WIN
2026-07-16,10.89,56.73,-1.29,1.62,6.8,✅ WIN
2026-07-17,5.4,56.56,-0.72,1.15,9.02,✅ WIN
