Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,9.31,168.61,-7.81,-4.47,-2.49,❌ LOS
2025-01-23,12.46,169.45,-1.39,-2.89,-5.12,❌ LOS
2025-01-24,8.94,167.27,0.48,-2.41,-6.4,❌ LOS
2025-01-27,15.57,166.36,-0.55,0.11,-5.82,❌ LOS
2025-01-31,9.09,168.06,-2.87,-0.4,-11.17,❌ LOS
2025-02-05,12.59,170.91,-3.17,-1.23,-10.79,❌ LOS
2025-06-27,8.47,155.84,-0.28,-2.68,1.58,✅ WIN
2025-10-27,126.71,185.53,-3.71,-8.58,-12.05,❌ LOS
2025-10-28,15.91,178.96,-4.52,-3.89,-9.79,❌ LOS
2025-10-30,9.99,175.23,-2.29,-1.56,-5.17,❌ LOS
2025-10-31,10.13,178.83,-5.53,-3.83,-7.11,❌ LOS
2025-11-03,9.05,178.65,-5.06,-7.73,-5.54,❌ LOS
2025-11-05,15.18,177.67,-1.7,-7.57,-2.49,❌ LOS
2025-12-10,15.62,181.05,-5.42,-4.08,-2.43,❌ LOS
2025-12-11,11.79,180.11,-3.91,-3.56,-6.62,❌ LOS
2025-12-12,11.13,177.15,-1.71,-2.73,-7.29,❌ LOS
2025-12-15,8.48,178.12,-2.81,-3.13,-8.21,❌ LOS
2025-12-19,14.69,174.13,-1.04,4.11,-10.77,❌ LOS
