Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,16.38,199.76,-1.61,0.66,0.59,✅ WIN
2024-11-21,14.73,206.14,0.92,4.25,2.72,✅ WIN
2024-12-11,12.8,216.31,-2.52,0.1,-4.44,❌ LOS
2024-12-16,13.24,219.66,-2.67,-4.85,-4.51,❌ LOS
2024-12-17,16.04,218.74,-0.93,-4.64,-2.49,❌ LOS
2025-05-08,13.23,199.96,6.36,5.29,8.52,✅ WIN
2025-05-12,34.54,207.96,2.81,2.65,5.2,✅ WIN
2025-05-13,37.75,211.14,0.91,0.65,3.27,✅ WIN
2025-05-14,21.95,212.41,-1.09,0.26,2.89,✅ WIN
2025-05-15,14.94,212.68,-1.01,-0.03,1.46,✅ WIN
2025-05-19,15.65,213.8,-0.15,1.01,1.34,✅ WIN
2025-05-21,17.87,210.09,1.36,2.28,2.67,✅ WIN
2025-05-27,19.37,213.47,1.16,2.49,3.94,✅ WIN
2025-06-30,13.54,226.22,0.11,0.91,2.84,✅ WIN
2025-09-22,14.69,247.25,-0.57,0.92,1.56,✅ WIN
2025-09-23,14.16,245.6,0.35,1.06,2.21,✅ WIN
2025-10-30,21.86,257.04,-2.29,-2.81,-1.09,❌ LOS
2025-11-03,12.68,259.54,-1.4,-4.5,-1.59,❌ LOS
2025-12-11,15.54,256.87,-2.64,-0.13,0.4,✅ WIN
