Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,0.57,15.15,0.43,-1.51,0.19,✅ WIN
2025-01-06,0.55,15.6,-1.68,1.4,1.57,✅ WIN
2025-01-07,0.6,15.49,0.87,2.23,2.62,✅ WIN
2025-01-08,0.83,15.51,0.54,1.9,2.07,✅ WIN
2025-01-10,0.48,15.37,2.03,1.36,3.57,✅ WIN
2025-09-22,0.53,15.64,0.24,1.0,2.86,✅ WIN
2025-10-17,0.53,15.94,1.42,1.89,1.89,✅ WIN
2025-10-27,0.47,16.24,0.23,0.46,0.49,✅ WIN
2025-10-29,0.5,16.25,0.06,0.34,0.89,✅ WIN
2025-10-30,0.61,16.24,-0.4,-0.11,1.3,✅ WIN
2025-10-31,0.48,16.25,-0.4,0.0,1.24,✅ WIN
2025-12-19,0.53,16.72,0.9,1.41,1.4,✅ WIN
2026-01-02,0.66,16.81,1.19,1.13,2.15,✅ WIN
2026-01-06,0.6,16.96,0.34,-0.01,-0.8,❌ LOS
2026-01-07,0.53,16.96,0.34,0.39,-1.82,❌ LOS
2026-01-08,0.58,16.93,0.51,0.84,0.27,✅ WIN
2026-04-17,1.09,17.54,0.95,1.74,0.95,✅ WIN
2026-04-20,0.89,17.51,1.19,1.87,1.12,✅ WIN
2026-04-21,0.47,17.47,1.13,2.32,1.01,✅ WIN
2026-04-23,0.5,17.57,1.3,1.97,1.52,✅ WIN
2026-04-24,0.47,17.71,0.78,1.34,0.95,✅ WIN
