Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-22,8.9,13.17,0.76,-7.14,6.76,✅ WIN
2024-11-25,8.2,13.77,-4.72,-14.02,9.44,✅ WIN
2024-11-26,7.84,13.78,-4.35,-15.31,24.02,✅ WIN
2024-12-26,7.34,17.09,5.85,-18.43,28.73,✅ WIN
2024-12-30,11.51,17.65,-4.76,-18.02,29.01,✅ WIN
2025-01-03,7.5,18.09,-22.94,23.44,32.06,✅ WIN
2025-01-06,7.01,17.46,-21.08,24.0,34.82,✅ WIN
2025-01-21,32.39,22.33,-1.48,6.99,-2.73,❌ LOS
2025-01-22,7.97,21.65,2.63,8.73,-7.62,❌ LOS
2025-01-23,6.53,22.05,3.27,-1.41,-18.78,❌ LOS
2025-01-31,11.66,23.92,-12.5,-1.25,-48.54,❌ LOS
2025-02-03,8.28,22.19,6.58,6.26,-43.62,❌ LOS
2025-02-04,7.11,23.89,-8.2,-9.08,-40.9,❌ LOS
2025-05-27,8.18,15.93,-6.84,14.12,0.56,✅ WIN
2025-06-04,9.16,17.02,17.86,-2.41,-6.05,❌ LOS
2025-06-09,12.1,19.96,3.06,-17.18,-20.94,❌ LOS
2025-06-11,6.7,20.06,-17.2,-15.45,-17.05,❌ LOS
