Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-28,43.12,651.9,-4.05,3.07,20.45,✅ WIN
2025-10-29,32.74,650.34,-1.34,4.41,20.32,✅ WIN
2025-11-11,24.71,671.89,7.53,16.86,7.79,✅ WIN
2025-11-12,36.83,679.03,3.08,15.24,9.68,✅ WIN
2025-11-13,52.15,692.25,6.18,12.4,6.8,✅ WIN
2025-11-14,28.62,690.77,9.13,8.3,8.66,✅ WIN
2025-11-18,31.28,722.48,8.68,-0.11,3.5,✅ WIN
2025-11-20,59.47,735.02,5.86,-2.53,4.2,✅ WIN
2025-11-21,51.54,753.87,-0.77,-6.96,3.1,✅ WIN
2025-11-24,66.3,759.4,-2.55,-9.04,3.12,✅ WIN
2025-11-25,62.18,785.2,-8.08,-7.76,-0.46,❌ LOS
2025-11-26,44.74,782.5,-7.88,-4.82,0.05,✅ WIN
2025-12-01,31.99,748.09,-6.25,0.33,3.18,✅ WIN
2026-01-07,49.85,810.08,-7.16,-6.99,-5.62,❌ LOS
2026-01-08,30.26,798.85,-7.38,-5.93,-1.94,❌ LOS
2026-02-06,23.76,783.4,2.25,0.32,-0.38,❌ LOS
2026-02-13,31.45,801.01,-1.89,-1.42,-5.65,❌ LOS
2026-04-01,28.41,776.09,-1.21,-4.02,-9.03,❌ LOS
2026-04-08,26.19,774.37,-2.79,-3.73,-7.02,❌ LOS
2026-04-09,25.0,766.7,-2.85,-0.24,-7.65,❌ LOS
