Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-22,2.41,14.49,-15.67,-24.78,-41.96,❌ LOS
2024-08-23,0.88,13.7,-2.77,-25.11,-31.02,❌ LOS
2024-08-30,1.42,13.32,-22.97,-22.75,-27.63,❌ LOS
2024-09-04,1.48,13.98,-29.11,-31.19,-33.76,❌ LOS
2024-09-05,2.66,15.08,-33.82,-34.35,-40.05,❌ LOS
2024-12-02,0.94,11.92,-15.94,-28.36,-28.69,❌ LOS
2024-12-06,3.37,12.82,-29.49,-35.26,-31.44,❌ LOS
2025-06-06,3.23,8.62,-37.82,-45.24,-41.18,❌ LOS
2025-08-21,0.73,5.61,0.53,8.02,-11.59,❌ LOS
2025-09-11,1.28,7.89,-36.12,-39.04,-37.01,❌ LOS
2025-12-10,1.35,6.33,38.07,29.7,42.5,✅ WIN
2025-12-11,0.85,5.63,55.95,54.53,59.86,✅ WIN
2025-12-12,3.95,6.65,31.58,30.08,41.2,✅ WIN
2025-12-15,3.3,7.53,6.24,10.82,15.41,✅ WIN
2025-12-16,5.92,8.44,-0.71,-6.28,2.49,✅ WIN
2025-12-17,3.63,8.74,-6.06,-7.32,-8.01,❌ LOS
2025-12-18,2.08,8.78,-0.91,-7.4,-12.41,❌ LOS
2025-12-19,7.63,8.75,-1.14,-8.69,-14.63,❌ LOS
2025-12-22,1.24,8.0,4.31,0.31,-1.63,❌ LOS
2025-12-23,0.79,8.38,-5.61,2.39,-7.64,❌ LOS
2026-01-13,0.83,9.39,-20.45,-24.49,-31.74,❌ LOS
