Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-11,9.98,14.97,-18.77,-19.44,-25.85,❌ LOS
2024-11-12,4.81,14.45,-15.09,-22.7,-18.55,❌ LOS
2025-07-21,6.34,14.02,3.5,-18.54,-12.13,❌ LOS
2025-09-09,5.34,15.21,15.19,12.23,41.16,✅ WIN
2025-09-10,5.39,16.4,7.44,9.7,34.09,✅ WIN
2025-09-16,4.82,17.52,-2.57,8.62,26.66,✅ WIN
2025-09-17,4.09,17.62,2.1,7.43,25.6,✅ WIN
2025-09-24,5.67,17.99,5.23,22.23,5.56,✅ WIN
2025-09-29,4.58,19.78,9.0,9.71,16.28,✅ WIN
2026-01-14,4.23,17.31,-1.33,-1.96,-17.97,❌ LOS
2026-01-16,13.49,19.24,-15.64,-20.37,-23.86,❌ LOS
2026-01-20,4.75,18.1,-3.04,-15.25,-14.42,❌ LOS
2026-04-17,4.18,18.11,2.76,2.15,29.71,✅ WIN
2026-04-20,5.22,18.11,0.94,3.15,28.0,✅ WIN
